句 - 孟浩然
齐州送祖三 - 王维
淇上田园即事 - 王维
浪淘沙·其一 - 刘禹锡
武陵春·春晚 - 李清照
一剪梅·红藕香残玉簟秋 - 李清照
醉花阴·薄雾浓云愁永昼 - 李清照
寒食城东即事 - 王维
过华清宫绝句三首·其一 - 杜牧
赤壁 - 杜牧
秋夕 - 杜牧
自遣 - 罗隐
题乌江亭 - 杜牧
寄黄几复 - 黄庭坚
赠别二首·其二 - 杜牧
赠别二首·其一 - 杜牧
赠刘景文 - 苏轼
浣溪沙·游蕲水清泉寺 - 苏轼
定风波·莫听穿林打叶声 - 苏轼
己亥杂诗·其五 - 龚自珍
息夫人 - 王维
李陵咏 - 王维
登飞来峰 - 王安石
江城子·密州出猎 - 苏轼
六月二十七日望湖楼醉书 - 苏轼
饮湖上初晴后雨二首·其二 - 苏轼
钱塘湖春行 - 白居易
暮江吟 - 白居易
夜雪 - 白居易
月下独酌·其一 - 李白
咏廿四气诗·立夏四月节 - 元稹
前出塞九首·其六 - 杜甫
闻王昌龄左迁龙标遥有此寄 - 李白
登金陵凤凰台 - 李白
峨眉山月歌 - 李白
归字谣 - 袁去华
苍梧谣·天 - 蔡伸
秋浦歌十七首·十五 - 李白
状江南·孟夏 - 贾弇
玉蝴蝶·望处雨收云断 - 柳永
临江仙·夜登小阁忆洛中旧游 - 陈与义
南歌子·疏雨池塘见 - 贺铸
金钱花 - 罗隐
春雪 - 韩愈
文殊院避暑 - 李群玉
临江仙·送钱穆父 - 苏轼
鹧鸪天·送廓之秋试 - 辛弃疾
河南严尹弟见宿弊庐访别人赋十韵 - 王维
渭川田家 - 王维
从军行七首·其四 - 王昌龄
