诗文名句作者古籍
梅花 - 王安石
上李邕 - 李白
行路难·其一 - 李白
泊秦淮 - 杜牧
赏牡丹 - 刘禹锡
终南望余雪 - 祖咏
芙蓉楼送辛渐 - 王昌龄
乌衣巷 - 刘禹锡
登科后 - 孟郊
南园十三首·其五 - 李贺
逢雪宿芙蓉山主人 - 刘长卿
山行 - 杜牧
鸟鸣涧 - 王维
劝学 - 颜真卿
无题二首·其一 - 李商隐
无题·相见时难别亦难 - 李商隐
锦瑟 - 李商隐
凉州词二首·其一 - 王之涣
凉州词 - 王翰
凉思 - 李商隐
赠孟浩然 - 李白
送梓州李使君 - 王维
次北固山下 - 王湾
夜泊牛渚怀古 - 李白
题破山寺后禅院 - 常建
风雨 - 李商隐
裴迪书斋望月 - 钱起
终南山 - 王维
月夜忆舍弟 - 杜甫
将进酒 - 李白
送友人 - 李白
渡荆门送别 - 李白
侠客行 - 李白
使至塞上 - 王维
绝句 - 杜甫
赋得古原草送别 - 白居易
闻官军收河南河北 - 杜甫
相思 - 王维
句 - 杜甫
大林寺桃花 - 白居易
清平调·其一 - 李白
出塞 - 王昌龄
黄鹤楼 - 崔颢
过故人庄 - 孟浩然
山居秋暝 - 王维
早春对雪寄前殿中元侍御 - 韦应物
蜀相 - 杜甫
旅夜书怀 - 杜甫
长相思·其一 - 李白
九月九日忆山东兄弟 - 王维
