寒食 - 韩翃
客至 - 杜甫
秋兴八首·其一 - 杜甫
宿建德江 - 孟浩然
绝句三首 其二 - 杜甫
贫交行 - 杜甫
戏为六绝句·其二 - 杜甫
遣兴 - 杜甫
夏日李公见访 - 杜甫
哀江头 - 杜甫
送元二使安西 - 王维
赠卫八处士 - 杜甫
八阵图 - 杜甫
归雁 - 杜甫
池上二绝 - 白居易
赠李白 - 杜甫
武侯庙 - 杜甫
登岳阳楼 - 杜甫
江畔独步寻花·其五 - 杜甫
房兵曹胡马诗 - 杜甫
天末怀李白 - 杜甫
春水生二绝 - 杜甫
江畔独步寻花·其六 - 杜甫
登高 - 杜甫
赠花卿 - 杜甫
春望 - 杜甫
绝句二首 - 杜甫
绝句四首 - 杜甫
春夜喜雨 - 杜甫
江南逢李龟年 - 杜甫
望岳 - 杜甫
客中作 - 李白
春夜洛城闻笛 - 李白
画 - 王维
夜宿山寺 - 李白
独坐敬亭山 - 李白
题临安邸 - 林升
夏日绝句 - 李清照
书湖阴先生壁 - 王安石
泊船瓜洲 - 王安石
江南春 - 杜牧
寻隐者不遇 - 贾岛
江雪 - 柳宗元
悯农二首 - 李绅
忆江南 - 白居易
池上 - 白居易
绝句 - 杜甫
绝句 - 杜甫
别董大二首 - 高适
望天门山 - 李白
